transaction_id,is_fraud,fraud_type
TX300000,0,None
TX300001,0,None
TX300002,0,None
TX300003,0,None
TX300004,0,None
TX300005,0,None
TX300006,0,None
TX300007,0,None
TX300008,0,None
TX300009,0,None
TX300010,0,None
TX300011,0,None
TX300012,0,None
TX300013,0,None
TX300014,0,None
TX300015,0,None
TX300016,0,None
TX300017,0,None
TX300018,0,None
TX300019,0,None
TX300020,0,None
TX300021,0,None
TX300022,0,None
TX300023,0,None
TX300024,0,None
TX300025,0,None
TX300026,0,None
TX300027,0,None
TX300028,0,None
TX300029,0,None
TX300030,0,None
TX300031,0,None
TX300032,0,None
TX300033,0,None
TX300034,0,None
TX300035,0,None
TX300036,0,None
TX300037,0,None
TX300038,0,None
TX300039,0,None
TX300040,0,None
TX300041,0,None
TX300042,1,Payment Fraud
TX300043,0,None
TX300044,0,None
TX300045,0,None
TX300046,0,None
TX300047,0,None
TX300048,0,None
TX300049,0,None
TX300050,0,None
TX300051,0,None
TX300052,0,None
TX300053,0,None
TX300054,0,None
TX300055,0,None
TX300056,0,None
TX300057,0,None
TX300058,0,None
TX300059,0,None
TX300060,0,None
TX300061,0,None
TX300062,0,None
TX300063,0,None
TX300064,0,None
TX300065,0,None
TX300066,0,None
TX300067,0,None
TX300068,0,None
TX300069,0,None
TX300070,0,None
TX300071,0,None
TX300072,0,None
TX300073,0,None
TX300074,0,None
TX300075,0,None
TX300076,0,None
TX300077,0,None
TX300078,0,None
TX300079,0,None
TX300080,0,None
TX300081,0,None
TX300082,0,None
TX300083,0,None
TX300084,0,None
TX300085,0,None
TX300086,0,None
TX300087,0,None
TX300088,0,None
TX300089,0,None
TX300090,0,None
TX300091,0,None
TX300092,0,None
TX300093,0,None
TX300094,0,None
TX300095,0,None
TX300096,0,None
TX300097,0,None
TX300098,0,None
TX300099,0,None
TX300100,0,None
TX300101,0,None
TX300102,0,None
TX300103,0,None
TX300104,0,None
TX300105,1,Suspicious Transfer
TX300106,0,None
TX300107,0,None
TX300108,0,None
TX300109,0,None
TX300110,0,None
TX300111,0,None
TX300112,0,None
TX300113,0,None
TX300114,0,None
TX300115,0,None
TX300116,0,None
TX300117,0,None
TX300118,0,None
TX300119,0,None
TX300120,0,None
TX300121,0,None
TX300122,0,None
TX300123,0,None
TX300124,0,None
TX300125,0,None
TX300126,0,None
TX300127,0,None
TX300128,0,None
TX300129,0,None
TX300130,0,None
TX300131,0,None
TX300132,0,None
TX300133,1,Payment Fraud
TX300134,0,None
TX300135,0,None
TX300136,0,None
TX300137,0,None
TX300138,1,Card Testing
TX300139,0,None
TX300140,0,None
TX300141,0,None
TX300142,0,None
TX300143,0,None
TX300144,0,None
TX300145,0,None
TX300146,0,None
TX300147,0,None
TX300148,0,None
TX300149,0,None
TX300150,0,None
TX300151,0,None
TX300152,0,None
TX300153,0,None
TX300154,0,None
TX300155,0,None
TX300156,0,None
TX300157,0,None
TX300158,1,Account Takeover
TX300159,0,None
TX300160,0,None
TX300161,0,None
TX300162,0,None
TX300163,0,None
TX300164,0,None
TX300165,0,None
TX300166,0,None
TX300167,0,None
TX300168,0,None
TX300169,0,None
TX300170,1,Identity Fraud
TX300171,0,None
TX300172,0,None
TX300173,0,None
TX300174,0,None
TX300175,0,None
TX300176,0,None
TX300177,0,None
TX300178,0,None
TX300179,0,None
TX300180,0,None
TX300181,0,None
TX300182,0,None
TX300183,0,None
TX300184,0,None
TX300185,0,None
TX300186,0,None
TX300187,0,None
TX300188,0,None
TX300189,0,None
TX300190,0,None
TX300191,0,None
TX300192,0,None
TX300193,0,None
